loan_amnt,int_rate,Term,annual_inc,emp_length,home_own,Loan_purpose,total_pymnt,Prncp_Rec,Interest_Rec,Interest_Rec,Grade
24000,14,2,125000,3,3,3,526,275,251,1,3
16000,10,2,30000,5,3,3,662,411,251,1,2
20000,16,2,85000,4,3,5,470,219,251,1,3
18000,12,2,130000,3,1,2,697,445,252,1,2
12000,14,2,110000,1,1,3,535,283,252,1,3
12000,14,2,160000,1,1,3,535,283,252,1,3
19200,8,2,160000,2,1,3,773,522,252,1,1
12800,13,2,222857,2,1,3,559,307,252,1,2
12000,14,2,70000,5,1,3,535,283,252,1,3
12800,13,2,83000,1,1,5,559,307,252,1,2
12000,14,2,42000,5,1,5,535,283,252,1,3
12800,13,2,56000,2,1,5,559,307,252,1,2
25000,6,1,100000,2,2,3,1518,1266,252,1,1
12800,13,2,57000,2,2,3,559,307,252,1,2
25000,13,2,85000,2,2,3,551,298,252,1,2
12000,14,2,123500,4,2,5,535,283,252,1,3
25000,6,1,117000,2,3,2,1518,1266,252,1,1
20000,13,1,25000,1,3,2,491,239,252,1,2
12000,14,2,46420,2,3,2,535,283,252,1,3
18000,18,2,112000,1,3,3,439,187,252,1,4
12000,14,2,47600,4,3,3,535,283,252,1,3
12000,14,2,51000,2,3,5,535,283,252,1,3
10000,16,1,94800,2,1,2,691,438,253,1,3
10000,16,1,52000,6,1,2,691,438,253,1,3
10000,16,1,90000,1,1,3,691,438,253,1,3
10000,16,1,100000,6,1,3,691,438,253,1,3
10000,16,1,105000,6,1,5,691,438,253,1,3
10000,16,1,94000,2,1,5,691,438,253,1,3
12600,13,2,82000,3,1,2,555,302,253,1,2
20000,8,2,59000,1,1,3,797,544,253,1,1
10000,22,2,36000,2,1,3,438,186,253,1,4
15000,11,2,120000,5,1,3,635,382,253,1,2
15000,11,2,50000,2,1,5,635,382,253,1,2
40000,19,2,120000,5,1,5,40253,40000,253,1,4
15000,19,2,94000,1,1,5,404,152,253,1,4
16000,14,1,72000,1,2,5,616,363,253,1,3
10000,18,2,47000,1,3,2,463,210,253,1,4
16000,14,2,46000,2,3,2,441,188,253,1,3
20000,8,2,40000,2,3,3,797,543,253,1,1
15000,11,2,57500,3,3,5,635,382,253,1,2
10000,16,2,70000,5,1,2,474,220,254,1,3
20000,11,2,65000,2,1,3,763,509,254,1,2
17000,12,2,70000,6,1,3,675,421,254,1,2
10000,16,2,55000,3,3,2,474,220,254,1,3
10000,16,2,90000,4,3,2,474,220,254,1,3
10000,16,2,90000,3,3,3,474,220,254,1,3
10000,16,2,41500,4,3,3,474,220,254,1,3
10000,16,2,45000,5,3,5,474,220,254,1,3
12500,13,2,94000,3,1,2,555,300,255,1,2
16000,10,2,52000,1,1,3,667,411,255,1,2
14000,12,2,73000,2,1,3,602,346,255,1,2
12500,13,2,80000,2,1,5,555,300,255,1,2
12000,14,1,50000,4,3,3,802,547,255,1,3
20000,8,1,57000,1,1,3,1243,987,256,1,1
12000,14,2,40000,1,1,3,539,283,256,1,3
12000,14,2,220000,2,1,5,539,283,256,1,3
20000,8,1,85000,2,1,1,1243,987,256,1,1
16000,10,2,53000,2,2,3,667,411,256,1,2
20000,8,1,55000,6,3,3,1243,987,256,1,1
12000,14,2,55000,5,3,2,539,283,256,1,3
12000,14,2,30000,1,3,3,539,283,256,1,3
30000,12,2,30000,2,3,3,625,369,256,1,2
12000,14,2,52000,5,3,4,539,283,256,1,3
18000,12,2,146079,1,1,2,703,445,257,1,2
10000,17,2,82000,2,1,2,473,216,257,1,3
15000,11,2,185000,2,1,3,639,382,257,1,2
15000,11,2,65000,2,1,3,633,376,257,1,2
18000,12,2,52000,3,1,3,703,445,257,1,2
12500,12,2,90000,5,1,4,566,309,257,1,2
12800,13,2,85000,2,1,5,564,307,257,1,2
15000,11,2,57000,2,2,3,639,382,257,1,2
7000,23,1,70000,1,2,1,531,275,257,1,5
10000,17,2,46000,1,3,2,473,216,257,1,3
10000,17,2,44280,1,3,2,473,216,257,1,3
10000,17,2,75000,1,3,3,473,216,257,1,3
16000,10,1,65000,5,1,3,1024,765,258,1,2
20000,8,2,88000,2,1,2,801,544,258,1,1
20000,8,2,90200,2,1,2,801,544,258,1,1
20000,8,2,98088,3,1,2,801,544,258,1,1
20000,8,2,70000,5,1,2,801,544,258,1,1
20000,8,2,120000,1,1,3,801,544,258,1,1
20000,8,2,80000,2,1,3,801,544,258,1,1
20000,8,2,105000,2,1,3,801,544,258,1,1
20000,8,2,112000,2,1,3,801,544,258,1,1
20000,8,2,226514,5,1,3,801,544,258,1,1
20000,8,2,65000,6,1,3,801,544,258,1,1
30000,10,2,147000,7,2,3,642,384,258,1,2
14000,12,1,74000,2,3,3,914,655,258,1,2
16000,10,1,71000,3,3,3,1024,765,258,1,2
14000,12,1,40000,5,3,3,914,655,258,1,2
20000,8,2,90000,2,3,3,801,544,258,1,1
11200,15,2,26000,4,3,3,814,557,258,1,3
20000,10,1,60000,2,1,3,1217,957,260,1,2
16000,11,2,70000,2,1,2,667,407,260,1,2
16000,11,2,88400,2,1,2,667,407,260,1,2
14000,12,2,100000,3,1,2,606,346,260,1,2
11400,15,2,41000,1,1,3,519,259,260,1,3
16000,10,2,90000,1,1,3,671,411,260,1,2
14000,12,2,57000,2,1,3,606,346,260,1,2
16000,10,2,65000,5,1,3,671,411,260,1,2
11200,15,2,55000,6,1,3,514,254,260,1,3
16000,10,2,218000,2,1,5,671,411,260,1,2
20000,18,2,79400,2,2,2,20260,20000,260,1,4
11200,15,2,63000,4,2,3,514,254,260,1,3
15500,11,1,52000,2,3,2,997,737,260,1,2
16000,10,2,60000,5,3,2,671,411,260,1,2
16000,10,2,44900,6,3,3,671,411,260,1,2
21000,8,1,150000,1,1,1,832,571,261,1,1
12000,14,1,90000,1,1,2,544,283,261,1,3
12000,14,2,58000,3,1,3,544,283,261,1,3
10000,22,2,51000,6,3,3,353,92,261,1,4
13000,13,2,43000,4,3,4,573,312,261,1,2
10000,17,1,32000,1,1,2,477,216,262,1,3
20000,8,2,60000,1,1,2,806,544,262,1,1
24000,14,2,125000,2,1,2,544,282,262,1,3
10000,17,2,55000,2,1,2,477,216,262,1,3
10000,17,2,75000,2,1,2,477,216,262,1,3
10000,17,2,48000,2,1,5,477,216,262,1,3
11500,14,2,105000,4,2,2,527,265,262,1,3
10000,17,2,56000,5,2,2,477,216,262,1,3
10000,17,2,29000,1,2,3,477,216,262,1,3
10000,17,2,150000,2,2,3,477,216,262,1,3
10000,17,2,90000,2,2,5,477,216,262,1,3
26000,6,1,170000,1,3,2,1579,1316,262,1,1
20500,8,1,49000,3,3,3,1274,1012,262,1,1
10000,22,2,85000,2,3,3,1976,1714,262,1,4
20000,8,2,60000,3,3,3,806,544,262,1,1
24000,7,1,85000,2,1,3,1469,1205,263,1,1
12800,14,2,96000,1,3,2,566,302,263,1,3
11500,13,2,93000,1,1,3,540,276,264,1,2
12000,14,2,80000,1,1,3,540,277,264,1,3
40000,8,2,121000,2,1,3,806,542,264,1,1
14000,12,2,45000,2,1,3,611,346,264,1,2
28000,14,2,130714,2,1,3,592,329,264,1,3
12000,14,2,46000,2,1,3,540,277,264,1,3
12000,14,2,90000,5,1,3,540,277,264,1,3
16500,18,2,37000,5,1,3,435,172,264,1,4
12000,14,2,78000,2,1,5,540,277,264,1,3
20500,11,1,77000,3,3,2,1239,975,264,1,2
12000,14,2,65000,1,3,2,540,277,264,1,3
30000,8,1,85000,1,1,3,1010,745,265,1,1
15000,11,1,114164,2,1,5,972,707,265,1,2
25000,8,2,72666,5,1,2,944,679,265,1,1
16000,10,2,60000,3,1,3,676,411,265,1,2
16000,10,2,65000,4,1,3,676,411,265,1,2
10000,17,1,115000,1,3,2,698,433,265,1,3
16000,11,2,132000,1,3,3,672,407,265,1,2
10000,17,2,47496,5,1,2,482,216,266,1,3
13000,13,2,33000,2,1,3,577,312,266,1,2
17000,10,2,36000,3,1,3,704,437,266,1,2
21000,8,2,120000,1,3,3,836,571,266,1,1
10000,17,2,26000,6,3,5,482,216,266,1,3
32000,11,1,100000,2,1,3,1024,758,267,1,2
18000,12,1,67000,2,1,3,1110,842,267,1,2
10400,17,2,32500,3,1,2,492,224,267,1,3
15000,11,2,60000,4,1,2,643,376,267,1,2
12750,14,2,75500,1,1,3,568,301,267,1,3
10500,16,2,134000,2,1,3,498,231,267,1,3
15000,11,1,65000,1,3,2,643,376,267,1,2
16000,11,1,60000,6,1,2,1029,761,268,1,2
20800,8,1,190000,1,1,1,833,565,268,1,1
12000,14,2,52000,1,1,3,545,277,268,1,3
16500,11,2,59891,2,1,3,688,420,268,1,2
12000,14,2,48000,2,1,3,545,277,268,1,3
12000,14,2,52000,3,1,3,545,277,268,1,3
6500,26,1,68000,1,2,3,512,244,268,1,5
14500,12,1,56420,1,3,2,946,679,268,1,2
12000,14,2,86472,2,3,3,545,277,268,1,3
12000,14,2,60000,2,3,3,545,277,268,1,3
15000,12,2,41600,2,1,2,640,371,269,1,2
15000,12,2,152903,2,1,2,640,371,269,1,2
15000,12,2,80000,5,1,2,640,371,269,1,2
15000,12,2,65000,1,1,3,640,371,269,1,2
15000,12,2,155000,2,1,3,640,371,269,1,2
15000,12,2,84854,2,1,3,640,371,269,1,2
15000,12,2,62000,4,1,3,640,371,269,1,2
15000,12,2,65000,5,1,3,640,371,269,1,2
15000,12,2,105000,6,1,3,640,371,269,1,2
15000,12,2,108000,2,1,5,640,371,269,1,2
10400,16,2,106000,2,1,5,498,229,269,1,3
16000,13,2,80000,2,3,2,653,384,269,1,2
15000,12,2,75000,1,3,3,640,371,269,1,2
9600,18,1,109000,2,1,5,679,409,270,1,4
21000,8,2,90000,3,1,3,841,571,270,1,1
21000,8,2,140000,3,1,5,841,571,270,1,1
16000,11,2,89000,3,1,5,677,407,270,1,2
16000,11,2,39000,4,2,3,677,407,270,1,2
20000,11,1,95000,3,3,3,1221,951,270,1,2
13000,13,2,47500,1,3,3,582,312,270,1,2
15000,11,2,43000,5,1,3,653,382,271,1,2
17000,10,2,32000,5,1,3,708,437,271,1,2
10000,17,2,96000,2,1,5,487,216,271,1,3
10000,17,1,65000,1,2,2,487,216,271,1,3
15500,11,2,84500,4,3,2,659,388,271,1,2
10000,17,2,32000,5,3,3,487,216,271,1,3
20000,8,2,75000,6,3,3,815,544,271,1,1
11575,15,1,64000,6,1,2,788,516,272,1,3
12000,14,1,99600,6,1,3,811,540,272,1,3
20000,9,2,60000,2,1,3,807,535,272,1,1
20000,9,2,75000,2,3,3,807,535,272,1,1
13000,14,2,115000,2,3,3,579,307,272,1,3
13000,14,2,45000,1,3,5,579,307,272,1,3
22000,8,2,119700,3,1,3,871,598,273,1,1
12000,14,2,92500,1,1,5,550,277,273,1,3
10000,18,2,85000,1,3,3,483,210,273,1,4
12000,14,2,62000,2,3,3,550,277,273,1,3
15000,12,2,45767,5,3,3,991,718,273,1,2
15000,12,2,150000,1,1,2,645,371,274,1,2
15000,12,2,140000,2,1,2,645,371,274,1,2
15000,12,2,65000,2,1,2,645,371,274,1,2
15000,12,2,80000,2,1,2,645,371,274,1,2
28000,14,2,150000,2,1,2,603,329,274,1,3
22000,14,2,101250,5,1,2,526,252,274,1,3
15000,12,2,98000,1,1,3,645,371,274,1,2
12000,15,2,50000,1,1,3,546,273,274,1,3
12000,15,2,60000,2,1,3,546,273,274,1,3
12000,15,2,125000,2,1,3,546,273,274,1,3
12000,15,2,190000,2,1,3,546,273,274,1,3
15000,12,2,180000,2,1,5,645,371,274,1,2
15000,12,2,91000,2,1,5,645,371,274,1,2
15000,12,2,40000,1,2,3,645,371,274,1,2
15000,12,2,64000,3,2,3,645,371,274,1,2
25000,7,1,43500,3,3,3,1530,1255,274,1,1
12000,15,1,40000,1,3,2,546,273,274,1,3
15000,12,2,38000,1,3,2,645,371,274,1,2
15000,12,2,52520,1,3,3,645,371,274,1,2
10000,18,2,80000,1,3,3,498,208,274,1,4
15000,12,2,82000,2,3,3,645,371,274,1,2
12000,15,2,112000,6,3,5,546,273,274,1,3
15450,12,1,133600,3,1,2,9758,9483,275,1,2
20000,9,1,100000,1,1,3,1254,978,275,1,1
16000,12,2,95000,4,1,2,772,497,275,1,2
21000,8,2,75000,2,1,3,846,571,275,1,1
20000,12,2,250000,2,1,3,522,246,275,1,2
16000,13,2,67000,5,1,3,659,384,275,1,2
12500,14,2,88400,5,1,3,563,288,275,1,3
20000,9,1,45000,1,2,3,1254,978,275,1,1
16000,14,1,78000,3,3,2,1004,729,275,1,3
20000,9,1,115000,6,3,2,1254,978,275,1,1
10500,17,2,120000,2,3,3,501,227,275,1,3
21000,8,2,73000,6,3,3,846,571,275,1,1
21600,8,1,84200,2,1,3,1343,1066,276,1,1
17000,10,2,41000,2,1,3,713,437,276,1,2
13000,14,1,55000,5,2,1,868,593,276,1,3
12725,14,2,35000,5,3,3,577,301,276,1,3
15000,12,1,27000,1,1,3,979,702,277,1,2
20000,9,2,53000,2,1,2,812,535,277,1,1
13000,14,2,110000,3,1,2,584,307,277,1,3
15000,12,1,35000,1,3,3,979,702,277,1,2
15000,12,1,95000,7,3,3,979,702,277,1,2
15000,12,1,120000,3,3,5,979,702,277,1,2
20000,9,2,90300,2,3,2,812,535,277,1,1
35800,8,2,85000,5,3,3,762,485,277,1,1
11000,16,1,240000,4,1,3,760,482,278,1,3
15000,12,1,12000,1,1,2,650,371,278,1,2
15000,12,2,53000,2,1,2,650,371,278,1,2
10000,18,2,57000,5,1,2,488,210,278,1,4
15000,12,2,250000,1,1,3,650,371,278,1,2
15000,12,2,100000,1,1,3,650,371,278,1,2
15000,12,2,100000,1,1,3,650,371,278,1,2
15000,12,2,70000,2,1,3,650,371,278,1,2
15000,12,2,62000,2,1,3,650,371,278,1,2
15000,12,2,90000,2,1,3,650,371,278,1,2
15000,12,2,60000,2,1,3,650,371,278,1,2
15000,12,2,120000,2,1,3,650,371,278,1,2
10000,18,2,55000,2,1,3,488,210,278,1,4
10000,18,2,80000,2,1,3,488,210,278,1,4
15000,12,2,150000,3,1,3,650,371,278,1,2
12000,14,2,65000,5,1,3,555,277,278,1,3
15500,12,2,60000,5,1,3,661,384,278,1,2
12000,14,2,40000,5,1,3,555,277,278,1,3
22000,8,2,59360,7,1,3,926,648,278,1,1
11000,16,1,45000,2,2,5,760,482,278,1,3
15000,12,2,62000,1,2,2,650,371,278,1,2
15000,12,2,42000,5,2,3,650,371,278,1,2
15000,12,2,35000,2,3,3,650,371,278,1,2
10000,18,2,45000,3,3,3,488,210,278,1,4
11000,20,2,65000,3,3,3,497,219,278,1,4
15000,12,2,48000,5,3,3,650,371,278,1,2
22000,8,2,95000,5,3,3,876,598,278,1,1
15000,12,2,145000,5,3,3,650,371,278,1,2
12000,15,2,39000,1,1,2,551,273,279,1,3
12000,15,2,99144,3,1,3,551,273,279,1,3
12000,15,2,90000,4,1,3,551,273,279,1,3
20000,11,1,92000,2,3,5,11286,11008,279,1,2
11000,16,2,54000,2,3,3,522,242,279,1,3
12000,15,2,88000,4,3,3,551,273,279,1,3
16000,11,2,86000,2,1,3,681,401,280,1,2
20000,10,2,83000,2,3,3,794,514,280,1,2
20000,18,2,48000,3,3,3,488,208,280,1,4
11400,19,2,45000,5,3,3,513,233,280,1,4
14000,13,2,95000,5,1,2,617,336,281,1,2
14000,13,2,55000,7,1,3,617,336,281,1,2
10000,18,1,50000,5,3,3,708,426,281,1,4
10000,18,1,96000,5,3,5,708,426,281,1,4
14000,13,2,46000,5,3,3,617,336,281,1,2
22000,8,1,125000,4,1,3,1368,1086,282,1,1
13000,14,1,65000,1,1,2,589,307,282,1,3
18000,10,2,58000,1,1,2,745,463,282,1,2
18000,10,2,65000,5,1,2,745,463,282,1,2
40000,8,2,130000,3,1,3,824,542,282,1,1
12600,14,2,93000,5,1,3,572,290,282,1,3
12000,15,1,65000,1,3,3,817,535,282,1,3
22000,8,1,120000,2,3,3,1368,1086,282,1,1
13450,14,2,48000,5,3,2,600,318,282,1,3
20000,9,2,53600,6,3,2,817,535,282,1,1
20000,9,2,65000,1,3,3,817,535,282,1,1
18000,10,2,75000,2,3,3,745,463,282,1,2
28000,6,1,80000,2,1,2,1700,1418,283,1,1
11000,17,2,54000,2,1,2,520,237,283,1,3
15500,12,2,102000,5,1,2,666,384,283,1,2
21200,9,2,190000,5,1,2,850,567,283,1,1
15000,12,2,66700,2,1,3,654,371,283,1,2
15000,12,2,110000,2,1,3,654,371,283,1,2
15000,12,2,63000,2,1,3,654,371,283,1,2
10000,18,2,17000,2,1,3,493,210,283,1,4
10000,18,2,100000,7,1,3,493,210,283,1,4
10000,18,2,104000,2,1,4,493,210,283,1,4
15000,12,2,148000,6,1,5,654,371,283,1,2
22000,8,2,61000,2,3,2,881,598,283,1,1
10000,18,2,195000,2,3,2,493,210,283,1,4
15500,12,2,70000,7,3,2,666,384,283,1,2
10000,18,2,35000,1,3,3,493,210,283,1,4
27000,12,2,123000,3,3,3,616,332,283,1,2
12000,15,2,132480,6,1,2,556,273,284,1,3
28000,8,2,98000,2,1,3,1045,761,284,1,1
16500,11,2,40000,2,1,3,703,419,284,1,2
12000,15,2,187000,3,1,5,556,273,284,1,3
10400,18,2,50617,4,2,2,502,218,284,1,4
20000,19,2,75000,3,2,3,487,202,284,1,4
24000,8,1,155000,6,3,2,1479,1196,284,1,1
10300,23,1,57000,4,3,3,688,404,284,1,5
14000,13,1,70000,5,3,3,928,644,284,1,2
12000,15,2,96800,2,3,2,556,273,284,1,3
12700,14,2,60000,3,3,2,577,293,284,1,3
22500,8,2,95000,5,1,2,896,611,285,1,1
12475,15,2,100000,6,1,2,568,283,285,1,3
23000,11,2,100000,4,1,3,870,585,285,1,2
30000,8,2,70000,5,1,3,1101,815,285,1,1
9600,19,1,103000,2,2,3,688,403,285,1,4
20000,12,1,95000,1,1,2,781,495,286,1,2
15000,14,2,85000,1,1,3,640,354,286,1,3
14000,13,2,174995,2,1,5,622,336,286,1,2
23000,8,2,75000,2,2,3,911,625,286,1,1
16000,12,1,63000,1,3,2,732,447,286,1,2
13000,14,2,168000,2,3,2,585,300,286,1,3
14000,13,2,80000,2,3,3,622,336,286,1,2
16000,12,2,145000,5,1,2,682,396,287,1,2
16000,12,2,60000,5,1,2,682,396,287,1,2
16000,12,2,55000,2,1,3,682,396,287,1,2
16000,12,2,30000,5,1,3,682,396,287,1,2
18000,10,2,136000,6,1,3,750,463,287,1,2
16000,10,2,56011,4,1,5,699,411,287,1,2
16000,12,1,80000,1,3,2,682,396,287,1,2
13500,14,2,75000,1,1,3,607,319,288,1,3
10000,19,2,70000,6,1,3,492,204,288,1,4
19200,13,2,57200,2,1,5,749,460,288,1,2
10000,19,2,75000,2,1,5,492,204,288,1,4
10000,18,2,60000,2,2,2,498,210,288,1,4
14000,14,2,38000,3,3,2,619,331,288,1,3
11000,17,2,54000,5,3,2,525,237,288,1,3
11000,17,2,57500,1,3,3,525,237,288,1,3
10000,19,2,80000,2,3,5,492,204,288,1,4
17500,10,2,95000,1,1,3,739,450,289,1,2
20000,8,2,55000,1,1,3,833,544,289,1,1
12000,15,2,116000,2,1,3,590,301,289,1,3
16200,12,2,38000,5,1,2,691,401,290,1,2
15600,12,2,90000,5,1,5,676,386,290,1,2
10000,17,2,60000,1,3,3,506,216,290,1,3
13200,14,2,102800,1,3,5,594,304,290,1,3
11200,16,2,60000,4,3,5,536,247,290,1,3
14000,13,2,175000,5,1,2,627,336,291,1,2
21000,9,2,40000,1,1,3,853,562,291,1,1
16225,12,2,66428,2,1,3,692,401,291,1,2
25000,10,2,93000,2,1,3,934,643,291,1,2
40000,8,2,120000,5,1,3,833,542,291,1,1
11000,17,1,56000,5,3,2,768,477,291,1,3
23000,8,2,78300,1,3,3,916,625,291,1,1
36000,6,1,105000,2,1,2,2115,1823,292,1,1
17000,11,2,134000,2,1,2,724,433,292,1,2
18000,10,2,98000,2,1,3,755,463,292,1,2
18000,10,2,211000,3,1,3,755,463,292,1,2
16000,12,2,91000,1,1,5,688,396,292,1,2
17600,11,2,86000,1,2,3,739,448,292,1,2
16000,12,2,70000,2,2,3,688,396,292,1,2
16000,12,2,105000,5,3,2,688,396,292,1,2
18000,10,2,65000,1,3,3,755,463,292,1,2
10500,18,2,35000,1,3,3,512,220,292,1,4
16000,12,2,95000,2,3,3,688,396,292,1,2
10000,19,2,125000,2,3,3,762,470,292,1,4
16000,12,2,38000,2,3,5,688,396,292,1,2
21000,12,2,66000,1,1,3,813,520,293,1,2
13500,14,2,79000,2,1,3,612,319,293,1,3
10000,19,2,25000,2,1,3,497,204,293,1,4
10000,19,2,81000,5,1,3,497,204,293,1,4
11200,17,2,125000,1,1,5,535,242,293,1,3
8000,23,1,43000,2,2,3,607,314,293,1,5
20000,11,2,80000,3,2,2,794,501,293,1,2
10000,19,2,95000,2,2,3,497,204,293,1,4
8000,23,1,49400,1,3,5,607,314,293,1,5
16800,11,1,50000,1,3,1,721,428,293,1,2
10000,19,2,35000,6,3,2,497,204,293,1,4
10000,19,2,80000,2,3,3,497,204,293,1,4
18675,10,2,58240,6,3,3,773,480,293,1,2
13000,14,1,55000,2,1,2,879,585,294,1,3
35000,7,1,133000,2,1,3,12234,11941,294,1,1
13000,14,1,33000,6,1,3,879,585,294,1,3
15850,12,2,71000,2,1,2,686,392,294,1,2
12000,16,2,168000,2,1,3,559,264,294,1,3
20000,12,2,50000,3,3,3,788,495,294,1,2
14400,13,2,112500,5,3,3,639,345,294,1,2
22400,19,1,68000,2,1,4,22695,22400,295,1,4
16000,12,1,35000,1,1,5,1044,749,295,1,2
16500,12,2,58000,2,1,3,704,408,295,1,2
25000,12,2,120000,3,1,3,603,308,295,1,2
30000,12,2,87000,4,1,3,664,369,295,1,2
16000,12,1,62000,3,3,2,1044,749,295,1,2
25000,8,1,100000,1,3,3,1541,1246,295,1,1
9000,21,1,20944,4,3,3,661,367,295,1,4
20000,19,2,70000,2,3,2,497,202,295,1,4
40000,6,1,186000,1,1,2,2321,2025,296,1,1
23000,8,2,153000,5,1,2,921,625,296,1,1
13000,14,2,75000,2,1,3,596,300,296,1,3
27000,7,1,144000,1,3,3,1652,1356,296,1,1
23000,8,2,90000,3,3,2,921,625,296,1,1
15000,13,2,67500,4,3,2,655,360,296,1,2
15000,13,2,56000,5,3,2,655,360,296,1,2
15000,13,2,37440,5,3,2,655,360,296,1,2
18000,14,2,85000,1,3,3,721,425,296,1,3
15000,13,2,38000,2,3,3,655,360,296,1,2
13000,14,2,40000,2,3,3,596,300,296,1,3
14000,14,1,120000,2,1,3,935,638,297,1,3
10000,19,1,37115,6,1,5,717,420,297,1,4
23500,8,2,110000,1,1,3,936,639,297,1,1
16000,12,2,50000,2,1,3,693,396,297,1,2
16000,12,2,60000,2,1,3,693,396,297,1,2
16000,12,2,62000,2,1,3,693,396,297,1,2
16000,12,2,65000,2,1,3,693,396,297,1,2
17000,11,2,45000,6,1,3,723,426,297,1,2
16000,12,2,350000,2,1,5,693,396,297,1,2
10000,19,1,30000,1,1,2,717,420,297,1,4
10000,19,1,52000,2,3,2,717,420,297,1,4
16000,12,2,46000,2,3,5,693,396,297,1,2
10000,19,2,51000,4,1,2,502,204,298,1,4
14500,14,2,56000,5,1,2,641,342,298,1,3
19000,10,2,65000,1,1,3,786,489,298,1,2
24000,8,2,100000,2,1,3,950,652,298,1,1
10000,19,2,300000,2,1,3,502,204,298,1,4
40000,10,2,115000,4,2,5,810,512,298,1,2
10000,19,2,42000,1,3,3,502,204,298,1,4
10000,19,2,96000,2,3,3,502,204,298,1,4
17450,11,2,300000,4,1,3,744,444,299,1,2
15000,16,2,28800,5,1,2,631,330,300,1,3
17500,11,1,46500,1,3,2,746,445,300,1,2
12000,16,2,62000,3,3,5,1564,1264,300,1,3
30000,9,2,135000,3,1,2,701,400,301,2,1
15000,13,2,60000,2,1,3,661,360,301,2,2
16800,12,2,140000,5,1,3,717,416,301,2,2
16500,12,2,60195,6,1,3,709,408,301,2,2
20000,17,2,68000,5,2,3,515,214,301,2,3
13000,14,2,48000,2,3,2,601,300,301,2,3
16000,16,2,80000,4,3,2,476,175,301,2,3
16500,12,2,90000,1,3,3,709,408,301,2,2
15000,13,2,60000,4,3,4,661,360,301,2,2
18000,11,1,141000,2,1,2,1158,856,302,2,2
16000,12,2,50000,1,1,3,698,396,302,2,2
16000,12,2,104000,1,1,3,698,396,302,2,2
13000,15,2,62000,2,1,3,597,295,302,2,3
20000,13,2,120000,2,2,5,781,480,302,2,2
18000,9,2,45500,3,3,3,784,481,302,2,1
22000,11,2,65000,3,3,3,853,551,302,2,2
13500,14,2,60000,4,3,3,613,311,302,2,3
12000,16,1,84000,1,1,3,829,526,303,2,3
12000,16,1,85000,1,1,3,829,526,303,2,3
30000,6,1,58000,5,1,3,1822,1519,303,2,1
10000,20,2,143000,1,1,3,501,199,303,2,4
20000,13,2,70000,1,1,3,541,239,303,2,2
18000,11,2,32000,2,1,3,762,458,303,2,2
19000,10,2,130000,2,1,3,792,489,303,2,2
25000,16,2,100000,6,1,5,576,274,303,2,3
12000,16,1,70000,5,3,2,829,526,303,2,3
12000,16,1,50000,1,3,3,829,526,303,2,3
10000,20,2,60000,1,3,3,501,199,303,2,4
10000,20,2,35400,4,3,3,501,199,303,2,4
24000,8,2,107000,2,1,2,956,652,304,2,1
24000,8,2,83000,2,1,2,956,652,304,2,1
17600,12,2,113250,5,1,3,17904,17600,304,2,2
27000,14,2,114996,6,2,2,613,309,304,2,3
12000,16,1,24000,5,3,2,829,525,304,2,3
24000,8,2,56000,2,3,3,956,652,304,2,1
19500,12,2,54000,4,3,3,787,482,304,2,2
14000,14,2,57000,4,3,3,635,331,304,2,3
17000,12,2,46500,5,3,3,725,421,304,2,2
15000,13,1,55000,2,1,3,994,690,305,2,2
7400,26,1,50000,2,1,3,583,277,305,2,5
15000,13,2,136000,3,1,3,666,360,306,2,2
15000,13,2,70000,5,1,3,666,360,306,2,2
39500,8,2,88000,2,3,2,840,535,306,2,1
16500,12,2,50000,6,3,2,715,408,306,2,2
15000,13,2,42000,2,3,3,666,360,306,2,2
15000,13,2,63000,3,3,3,666,360,306,2,2
15000,13,2,61000,5,3,3,666,360,306,2,2
15000,13,2,90000,6,3,5,666,360,306,2,2
24000,8,1,199600,2,1,2,1492,1185,307,2,1
20000,26,2,58000,5,1,2,20307,20000,307,2,5
14400,14,2,135000,1,1,3,647,340,307,2,3
23000,8,2,150000,3,1,3,932,625,307,2,1
22000,18,2,210000,1,1,5,536,229,307,2,4
31000,8,1,78000,1,3,3,1838,1530,307,2,1
13000,15,2,50000,2,3,3,1003,696,307,2,3
10800,22,2,35000,7,3,3,507,200,307,2,4
22400,9,1,95000,2,1,3,1404,1096,308,2,1
22400,9,1,30000,3,1,3,1404,1096,308,2,1
20000,10,2,80000,3,1,3,822,514,308,2,2
10000,20,2,83000,4,1,3,507,199,308,2,4
10000,21,1,24960,1,2,3,1535,1227,308,2,4
10000,20,2,40000,1,2,3,507,199,308,2,4
12000,17,1,48000,3,3,1,567,259,308,2,3
12000,17,2,45000,4,3,3,567,259,308,2,3
18000,11,2,112000,1,1,2,760,451,309,2,2
24000,8,2,160000,2,1,2,961,652,309,2,1
40000,8,2,250000,1,1,3,851,542,309,2,1
15000,14,2,85000,2,1,3,663,354,309,2,3
24000,8,2,85000,2,1,5,961,652,309,2,1
18975,11,2,64200,2,3,2,792,483,309,2,2
15000,14,2,100000,3,3,2,663,354,309,2,3
18000,11,2,81000,1,3,3,767,458,309,2,2
8425,27,1,450000,4,1,2,8735,8425,310,2,5
16800,12,1,47800,6,1,2,1096,786,310,2,2
15475,13,2,61000,5,1,3,682,371,310,2,2
12000,16,1,250000,1,3,1,575,264,310,2,3
32000,8,2,108000,2,3,3,1180,870,310,2,1
